surgery,age,hospital_number,rectal_temp,pulse,respiratory_rate,temp_of_extremities,peripheal_pulse,mucous_membrane,capillary_refill_time,pain,peristaltsis,abdominal_distention,nasogastric_tube,nasogastric_reflux,nasogastric_reflux_ph,rectal_exam_feces,abdomen,packed_cell_volume,total_protein,abdomo_appearance,abdomo_protein,outcome,surgical_lesion,lesion_1,lesion_2,lesion_3,cp_data
no,young,419278,36.699220717163314,43.89781520227415,9.333830304159827,warm,increased,bright_red,less_3_sec,intermittent_pain,normal,slight,none,less_1_liter,5.515585786343363,normal,distend_large,49.893983182496996,7.199922222438573,clear,2.577013076311243,died,no,2208,2,1,no
yes,adult,251563,37.08870137523946,79.15764456353953,9.457304300622557,cold,normal,normal_pink,less_3_sec,mild_pain,normal,moderate,none,none,4.382778786880174,absent,other,44.70367887102647,7.471376592268248,clear,4.489165503350566,died,no,11300,1,2,no
no,adult,756701,37.21343592043728,75.58547774788327,12.546702086814946,warm,reduced,bright_pink,less_3_sec,mild_pain,hypermobile,none,none,>1_liter,5.64732749617691,normal,normal,34.31673536260498,7.397443055120159,clear,3.84892386363121,died,yes,4300,2,1,yes
no,adult,799983,37.60246477430303,54.188497938052755,12.482097010791549,warm,increased,pale_cyanotic,more_3_sec,depressed,hypomobile,moderate,none,none,2.5696537403298603,decreased,distend_large,46.93288128665357,7.105369797956274,clear,5.742687452326903,euthanized,no,0,1,2,no
no,adult,714615,37.04095955279135,88.22101802118448,8.653039294355308,cold,normal,bright_red,less_3_sec,depressed,absent,severe,none,>1_liter,8.3894989674429,decreased,normal,38.2946527274028,7.040980604728979,serosanguious,3.567575683743654,euthanized,no,11300,1,2,yes
yes,adult,493554,37.8334587709923,51.89179984772443,9.757769782137274,cool,increased,bright_red,less_3_sec,intermittent_pain,absent,moderate,slight,less_1_liter,3.946415423863737,normal,normal,30.723053210825782,6.505274995403065,serosanguious,3.611462956600416,died,yes,0,0,1,yes
no,young,302503,37.17818169949361,52.782171611507856,10.957939221531236,warm,increased,pale_pink,less_3_sec,alert,absent,none,slight,none,7.8032969855437635,normal,normal,36.428425556233414,6.156025877692653,serosanguious,4.603093559126441,euthanized,no,2208,0,0,no
no,adult,243326,38.50137306483922,20.0,5.586937630347798,cool,increased,pale_cyanotic,less_3_sec,constant_pain,hypomobile,none,slight,less_1_liter,2.546786971585558,absent,other,45.271024681187704,6.860583822551364,cloudy,4.107944873305712,lived,no,11300,3,2,yes
no,young,807220,38.83106291398805,68.18056107485275,12.63782471226137,warm,increased,bright_pink,less_3_sec,constant_pain,hypermobile,severe,slight,>1_liter,9.640788449325488,decreased,distend_large,49.204124143729466,6.864379942632889,serosanguious,3.4977995101537394,died,no,2208,3,0,no
yes,young,111344,37.90854267602843,33.489801766351874,14.204495673681683,cold,increased,dark_cyanotic,less_3_sec,alert,normal,slight,important,less_1_liter,3.544119883245589,decreased,distend_large,35.52272832606388,7.428355928123616,clear,5.9590976627203585,died,yes,2208,3,2,no
